id,handle,first_name,last_name,email,street,city,state,state_animal,real_food_affinity_category_id,luxury_brand_affinity_category_id,tech_gadget_affinity_category_id,travel_affinity_category_id
38,dbaumadier11,Dermot,Baumadier,dbaumadier11@dmoz.org,6100 Westend Terrace,Spokane,Washington,Common long-nosed armadillo,1,5,9,13
39,dkeets12,Dieter,Keets,dkeets12@aboutads.info,80 Monument Junction,Tucson,Arizona,"Gull, silver",2,8,10,13
40,bjanousek13,Bobbee,Janousek,bjanousek13@arstechnica.com,50846 Emmet Crossing,Loretto,Minnesota,"Racer, blue",3,6,10,15
41,rdoylend14,Roy,Doylend,rdoylend14@mlb.com,6776 Esch Pass,Jamaica,New York,Small-toothed palm civet,4,5,11,15
42,dcr*pper15,Dominique,Crapper,dcrapper15@angelfire.com,4515 Victoria Court,Bronx,New York,Australian magpie,4,5,11,14
43,melleray16,Margo,Elleray,melleray16@last.fm,5543 Crownhardt Court,Fort Worth,Texas,"Otter, cape clawless",3,5,10,15
44,dwrightem17,Deena,Wrightem,dwrightem17@sfgate.com,8 Gateway Trail,Irvine,California,"Jackal, golden",4,5,12,14
45,mrothermel18,Mandel,Rothermel,mrothermel18@sciencedaily.com,808 Gateway Junction,Dallas,Texas,Painted stork,2,5,10,13
46,astaunton19,Ambrosio,Staunton,astaunton19@ox.ac.uk,931 Dunning Avenue,Las Vegas,Nevada,Black-crowned night heron,1,8,12,15
47,cgozzett1a,Conni,Gozzett,cgozzett1a@shinystat.com,6494 Golf Trail,Sterling,Virginia,Roe deer,3,7,12,15
48,mjonke1b,Maryanna,Jonke,mjonke1b@sun.com,3 Fordem Plaza,Silver Spring,Maryland,"Dragon, western bearded",4,7,9,14
49,onortheast1c,Orlando,Northeast,onortheast1c@sun.com,0 Bartelt Hill,Brockton,Massachusetts,Crowned eagle,2,5,11,16
50,sfryett1d,Sarina,Fryett,sfryett1d@zdnet.com,87 Morrow Alley,Hartford,Connecticut,Red-breasted nuthatch,3,5,12,14
51,abarmadier1e,Ardine,Barmadier,abarmadier1e@sina.com.cn,78450 Union Place,Providence,Rhode Island,"Bulbul, black-eyed",4,5,10,13
52,jcroston1f,Jessalin,Croston,jcroston1f@cargocollective.com,108 Bluejay Trail,Pasadena,California,"Crane, wattled",2,6,9,14
53,ufairbank1g,Ugo,Fairbank,ufairbank1g@ycombinator.com,56 Melvin Plaza,Lexington,Kentucky,"Eland, common",1,5,10,13
54,edawidowsky1h,Earvin,Dawidowsky,edawidowsky1h@com.com,9156 Barnett Hill,Nashville,Tennessee,"Falcon, peregrine",1,7,10,15
55,fdartan1i,Fallon,Dartan,fdartan1i@ihg.com,62220 Hollow Ridge Plaza,Indianapolis,Indiana,"Racer, blue",2,7,12,13
56,iluddy1j,Innis,Luddy,iluddy1j@godaddy.com,135 Village Road,Houston,Texas,Thirteen-lined squirrel,3,5,10,13
57,dpinxton1k,Doris,Pinxton,dpinxton1k@mit.edu,7 Fremont Street,Rochester,New York,Emu,2,6,12,16
58,ltrevithick1l,Lexie,Trevithick,ltrevithick1l@flavors.me,7205 Petterle Place,Dayton,Ohio,Mississippi alligator,3,8,10,15
59,aboag1m,Aldous,Boag,aboag1m@cdc.gov,99157 Laurel Circle,Seattle,Washington,"Goose, andean",2,6,11,16
60,idoyland1n,Ira,Doyland,idoyland1n@hexun.com,4 Express Street,Richmond,Virginia,Eastern cottontail rabbit,3,8,NULL,15
61,jvade@1o,Jennica,Vader,jvader1o@ft.com,8672 Miller Drive,Boston,NULL,"Goat, mountain",1,6,12,13
62,tdebenedictis1p,Tabby,De Benedictis,tdebenedictis1p@wikimedia.org,492 Bonner Plaza,Bridgeport,Connecticut,"Boa, columbian rainbow",3,5,11,14
63,dwaterfield1q,Dannel,Waterfield,dwaterfield1q@house.gov,138 Anzinger Alley,El Paso,Texas,"Skua, long-tailed",2,6,11,13
64,cchrismas1r,Cristina,Chrismas,cchrismas1r@abc.net.au,6036 Arapahoe Street,Des Moines,Iowa,Bonnet macaque,2,8,12,15
65,mkuhnhardt1s,Mirabel,Kuhnhardt,mkuhnhardt1s@cam.ac.uk,18 Buell Alley,Akron,Ohio,Bobcat,2,7,10,16
66,mchurchlow1t,Marylou,Churchlow,mchurchlow1t@hatena.ne.jp,476 Bellgrove Terrace,Des Moines,Iowa,Potoroo,1,7,12,15
67,bhendin1u,Briggs,Hendin,bhendin1u@uiuc.edu,651 Donald Terrace,Louisville,Kentucky,Blue-footed booby,4,7,11,14
68,jcamin1v,Josefa,Camin,jcamin1v@jigsy.com,64766 Pond Place,Oklahoma City,Oklahoma,Four-striped grass mouse,4,7,12,15
69,agyurko1w,Abbie,Gyurko,agyurko1w@loc.gov,3419 Schlimgen Terrace,Atlanta,Georgia,Water moccasin,1,7,10,14
70,dspurman1x,Derril,Spurman,dspurman1x@deviantart.com,9 Norway Maple Drive,Sacramento,California,Andean goose,4,7,9,13
71,rgourlay1y,Rees,Gourlay,rgourlay1y@e-recht24.de,91998 Bultman Parkway,San Jose,California,Civet cat,1,5,10,16
72,rklausen1z,Rosalia,Klausen,rklausen1z@live.com,7 Hagan Crossing,New Orleans,Louisiana,Pale-throated three-toed sloth,2,8,9,15
73,fseppey20,Fianna,Seppey,fseppey20@tiny.cc,2783 Transport Trail,Montgomery,Alabama,"Squirrel, thirteen-lined",1,7,11,14
74,cpepis21,Charissa,Pepis,cpepis21@flickr.com,903 Schiller Parkway,Washington,District of Columbia,"Ringtail, common",2,7,10,16
75,eclavering22,Elvera,Clavering,eclavering22@e-recht24.de,5244 Lake View Crossing,Richmond,Virginia,Common mynah,2,8,9,14
76,jpidgeley23,Justina,Pidgeley,jpidgeley23@feedburner.com,8 Waxwing Avenue,Evansville,Indiana,"Partridge, coqui",1,8,11,14
77,kpairpoint24,Keelby,Pairpoint,kpairpoint24@ycombinator.com,81 Roxbury Alley,Wilkes Barre,NULL,Greater sage grouse,2,8,9,13
78,amarham25,Alex,Marham,amarham25@google.fr,61945 Waubesa Crossing,Milwaukee,Wisconsin,"Thrasher, curve-billed",1,6,12,13
79,jbowbric^26,Jaimie,Bowbrick,jbowbrick26@technorati.com,3 Holmberg Plaza,San Diego,California,Long-crested hawk eagle,4,6,9,14
80,sstrippling27,Sandie,Strippling,sstrippling27@blogspot.com,49 Jana Place,Carlsbad,California,Tammar wallaby,2,5,10,13
81,wcoleborn28,Wilma,Coleborn,wcoleborn28@cmu.edu,6 Mockingbird Trail,Glendale,California,Common green iguana,4,7,11,13
82,arunnicles29,Ailyn,Runnicles,arunnicles29@purevolume.com,41036 Pond Alley,Saint Louis,Missouri,"Pelican, brown",2,7,9,13
83,dperulli2a,Dionne,Perulli,dperulli2a@wikispaces.com,71 Butterfield Circle,El Paso,Texas,"Bettong, brush-tailed",1,5,9,13
84,lclevely2b,Leslie,Clevely,lclevely2b@netlog.com,3 Magdeline Point,Las Vegas,Nevada,Stone sheep,3,8,10,15
85,egulvin2c,Estrella,Gulvin,egulvin2c@ca.gov,1 Dahle Place,Concord,California,Blue-tongued skink,1,5,9,16
86,ableakman2d,Abby,Bleakman,ableakman2d@example.com,594 Debra Circle,Cheyenne,Wyoming,Small-spotted genet,1,7,9,13
87,hdommersen2e,Hagen,Dommersen,hdommersen2e@npr.org,2567 Pierstorff Drive,Decatur,Georgia,"Anteater, giant",1,5,10,16
88,dbabbe2f,Dennis,Babbe,dbabbe2f@howstuffworks.com,289 Stuart Alley,Lansing,Michigan,"Lemming, arctic",4,5,11,16
89,lyakovliv2g,Latisha,Yakovliv,lyakovliv2g@technorati.com,3 Muir Crossing,Washington,District of Columbia,Nine-banded armadillo,4,7,9,16
90,kerley2h,Karol,Erley,kerley2h@hatena.ne.jp,8 Gateway Parkway,Lexington,Kentucky,"Kudu, greater",1,5,12,15
91,lglyssanne2i,Lorne,Glyssanne,lglyssanne2i@usda.gov,3646 Goodland Plaza,Mobile,Alabama,"Catfish, blue",2,6,10,16
92,aeilert2j,Alexandre,Eilert,aeilert2j@cpanel.net,917 Paget Road,Orlando,Florida,Salmon pink bird eater tarantula,4,8,9,14
93,tstent2k,Tory,Stent,tstent2k@mysql.com,2445 Becker Crossing,Birmingham,Alabama,Bengal vulture,2,8,12,16
94,alinnitt2l,Ansley,Linnitt,alinnitt2l@webmd.com,08 Longview Terrace,Bronx,New York,Yellow-crowned night heron,2,5,10,16
95,rferrino2m,Rhett,Ferrino,rferrino2m@comsenz.com,7877 Center Road,Nashville,Tennessee,"Squirrel, uinta ground",2,8,10,13
96,echatband2n,Erin,Chatband,echatband2n@uiuc.edu,146 Briar Crest Junction,Oklahoma City,Oklahoma,Tailless tenrec,1,5,9,15
97,dkhomishin2o,Dasya,Khomishin,dkhomishin2o@facebook.com,58096 Thierer Junction,Miami,Florida,Yellow-billed hornbill,2,5,10,15
98,mpollie2p,Matty,Pollie,mpollie2p@google.com,3 Golf Circle,Whittier,California,"Heron, gray",3,8,10,16
99,acalrow2q,Ailene,Calrow,acalrow2q@bravesites.com,11726 Sage Circle,Los Angeles,California,"Bird, black-throated butcher",1,6,10,13
100,mcanland2r,Mal,Canland,mcanland2r@bloomberg.com,357 Meadow Vale Street,New York City,Montana,"Lion, southern sea",1,8,9,16
101,bbiggen2s,Berkley,Biggen,bbiggen2s@merriam-webster.com,1 Porter Park,Dallas,Texas,"Lemming, collared",3,5,10,15
102,lkoppeck2t,Lia,Koppeck,lkoppeck2t@comsenz.com,69320 Arizona Terrace,Jackson,Mississippi,Frog (unidentified),2,7,12,15
103,otchir2u,Orelee,Tchir,otchir2u@livejournal.com,0809 Reindahl Pass,Oklahoma City,Oklahoma,"Heron, striated",1,6,11,13
104,ktrineman2v,Kaitlin,Trineman,ktrineman2v@businesswire.com,30 Anhalt Hill,Glendale,NULL,Caracara (unidentified),4,7,10,15
105,ahundal2w,Armin,Hundal,ahundal2w@biblegateway.com,76 Schiller Crossing,Indianapolis,Indiana,Swamp deer,2,6,11,15
106,llewendon2x,Leilah,Lewendon,llewendon2x@foxnews.com,170 West Point,Topeka,Kansas,Hudsonian godwit,3,6,11,14
107,kkeely2y,Kaylil,Keely,kkeely2y@fema.gov,8562 Montana Trail,Pittsburgh,Pennsylvania,"Hen, sage",4,8,9,16
108,tneagle2z,Tyne,Neagle,tneagle2z@domainmarket.com,593 Gerald Park,Dallas,Texas,Common long-nosed armadillo,2,7,11,14
109,spankethman30,Sarajane,Pankethman,spankethman30@ameblo.jp,8469 Division Trail,Metairie,Louisiana,Green-winged macaw,3,6,9,15
110,emaw31,Elysia,Maw,emaw31@ibm.com,2 Arrowood Crossing,Gadsden,Alabama,Jaguar,2,6,9,16
111,sraffles32,Sasha,Raffles,sraffles32@yolasite.com,7 Warner Court,Kansas City,Missouri,Common melba finch,3,6,12,14
112,bsuttie33,Billye,Suttie,bsuttie33@weebly.com,16 Valley Edge Place,Omaha,Nebraska,"Squirrel, malabar",4,7,9,15
113,akopfer34,Arda,Kopfer,akopfer34@de.vu,6 Comanche Plaza,Rochester,New York,"Kingfisher, malachite",3,5,12,14
114,bozelton35,Brandice,Ozelton,bozelton35@discovery.com,13 Kensington Drive,Odessa,Texas,"Starling, red-shouldered glossy",1,5,9,14
115,ldol#ard36,Lonnard,Dollard,ldollard36@creativecommons.org,4134 Northview Hill,Fort Worth,Texas,"Marshbird, brown and yellow",4,6,12,14
116,cshurrocks37,Carita,Shurrocks,cshurrocks37@shinystat.com,49981 Bonner Lane,Ridgely,Maryland,Red and blue macaw,3,6,11,14
117,sauten38,Sammy,Auten,sauten38@youku.com,47 Laurel Crossing,Tucson,Arizona,Brolga crane,3,6,10,15
118,eharewood39,Eddi,Harewood,eharewood39@bizjournals.com,300 Hanson Park,Albany,Georgia,Giant otter,3,7,11,14
119,kfidge3a,Kinny,Fidge,kfidge3a@nih.gov,814 Amoth Park,Raleigh,North Carolina,Common rhea,4,8,10,13
120,afanton3b,Arleyne,Fanton,afanton3b@noaa.gov,325 Bunting Pass,Minneapolis,Minnesota,"Crane, blue",2,6,10,15
121,znewson3c,Zebulen,Newson,znewson3c@amazon.co.jp,1465 Coleman Plaza,Charlotte,North Carolina,"Glider, squirrel",3,6,12,14
122,mingreda3d,Missy,Ingreda,mingreda3d@forbes.com,7944 Lake View Circle,Santa Fe,New Mexico,"Penguin, fairy",3,5,9,15
123,bogavin3e,Bryan,O'Gavin,bogavin3e@flickr.com,3266 Schlimgen Crossing,Cincinnati,Ohio,"Tern, white-winged",4,7,9,14
124,vdoyly3f,Verna,D'Oyly,vdoyly3f@theatlantic.com,92 Mallory Pass,Saginaw,Michigan,"Shelduck, european",2,7,10,15
125,jklimuk3g,Jourdan,Klimuk,jklimuk3g@elpais.com,00 Garrison Road,El Paso,Texas,Ibex,1,5,12,13
126,gfursse3h,Gwennie,Fursse,gfursse3h@joomla.org,0 Elka Alley,Pueblo,Colorado,Savanna baboon,3,6,11,14
127,ksmithin3i,Kelbee,Smithin,ksmithin3i@yelp.com,79191 Sundown Drive,Springfield,Missouri,Turtle (unidentified),1,8,12,13
128,bdon3j,Briano,Don,bdon3j@ucsd.edu,521 Hollow Ridge Junction,Saint Paul,Minnesota,"Rhea, greater",4,5,12,15
129,mstanbro3k,Marlee,Stanbro,mstanbro3k@businessinsider.com,748 Lindbergh Avenue,Lakeland,NULL,Bare-faced go away bird,4,7,11,15
130,mhardypiggin3l,Melody,Hardy-Piggin,mhardypiggin3l@wordpress.com,63552 Brentwood Alley,El Paso,Texas,"Bulbul, black-fronted",1,6,9,15
131,pdenyer3m,Pammy,Denyer,pdenyer3m@ed.gov,78 Maywood Terrace,Tyler,Texas,Japanese macaque,4,8,12,13
132,kgissop3n,Ketty,Gissop,kgissop3n@howstuffworks.com,921 Thierer Lane,El Paso,NULL,"Bat, madagascar fruit",3,7,12,13
133,gmacneilley3o,Gar,MacNeilley,gmacneilley3o@tinyurl.com,6 Golf Course Point,Kansas City,Missouri,"Cat, cape wild",3,6,9,13
134,emosey3p,Estel,Mosey,emosey3p@yale.edu,6 Brickson Park Alley,Jacksonville,Florida,"Pie, rufous tree",4,8,10,15
135,hbartolomeazzi3q,Hillier,Bartolomeazzi,hbartolomeazzi3q@exblog.jp,6 Oakridge Park,Laurel,Maryland,"Weaver, sociable",4,8,11,14
136,cabdee3r,Constantina,Abdee,cabdee3r@seattletimes.com,4529 Schmedeman Place,El Paso,Texas,Small-toothed palm civet,3,5,9,14
137,fhordle3s,Francois,Hordle,fhordle3s@networkadvertising.org,07 Mcbride Parkway,Richmond,Virginia,"Bee-eater, carmine",3,5,9,13
138,bhandsheart3t,Brunhilda,Handsheart,bhandsheart3t@newsvine.com,02 Porter Junction,Madison,Wisconsin,Black bear,1,5,10,16
139,weccleston3u,Wendel,Eccleston,weccleston3u@studiopress.com,4 Dapin Drive,San Antonio,Texas,"Whale, southern right",4,8,12,14
140,challowes3v,Cherilynn,Hallowes,challowes3v@xinhuanet.com,60 Straubel Road,Las Vegas,Nevada,Giant anteater,1,6,10,14
141,wallewell3w,Winnie,Allewell,wallewell3w@nydailynews.com,6 Towne Crossing,Omaha,Nebraska,Red-billed tropic bird,2,7,12,13
142,flackinton3x,Field,Lackinton,flackinton3x@hp.com,12 Cody Junction,Toledo,Ohio,"Goose, egyptian",4,7,12,16
143,ckaas3y,Cally,Kaas,ckaas3y@ning.com,80 Vidon Place,Knoxville,Tennessee,Chuckwalla,2,6,11,14
144,wsimmen3z,Wally,Simmen,wsimmen3z@fc2.com,84757 Karstens Court,Des Moines,NULL,"Whale, southern right",2,5,12,13
145,eaicken40,Erskine,Aicken,eaicken40@gov.uk,98434 Pennsylvania Crossing,Memphis,Tennessee,Red-tailed phascogale,3,5,11,15
146,hbygrave41,Halimeda,Bygrave,hbygrave41@jimdo.com,6 Sachs Point,El Paso,Texas,Pied butcher bird,2,5,9,16
147,rbrimming42,Rafa,Brimming,rbrimming42@theatlantic.com,84468 Riverside Road,Spokane,Washington,"Tern, white-winged",4,6,10,15
148,gkittoe43,Garrott,Kittoe,gkittoe43@apache.org,28 Esch Park,Scranton,Pennsylvania,Spotted deer,2,6,9,15
149,dk#nneally44,Dorise,Kinneally,dkinneally44@techcrunch.com,2 Hoffman Park,Flint,Michigan,Australian pelican,1,7,10,13
150,tashburne45,Tansy,Ashburne,tashburne45@fastcompany.com,5007 Huxley Park,Lancaster,Pennsylvania,"Blackbird, red-winged",4,7,10,16
151,ggoodread46,Gerianne,Goodread,ggoodread46@ameblo.jp,3732 Delaware Street,Seattle,Washington,"Whale, southern right",3,5,9,15
152,dmcnicol47,Danice,McNicol,dmcnicol47@rediff.com,45 Larry Hill,Sacramento,California,Frilled dragon,1,6,10,13
153,kpohl48,Kelwin,Pohl,kpohl48@biglobe.ne.jp,170 Grim Terrace,Bonita Springs,Florida,"Ass, asiatic wild",2,5,11,13
154,sshepperd49,Sonnie,Shepperd,sshepperd49@yandex.ru,043 Hazelcrest Terrace,Fort Wayne,Indiana,Butterfly (unidentified),4,6,12,13
155,@hoffner4a,Langsdon,Hoffner,lhoffner4a@adobe.com,4 Spenser Avenue,Tulsa,Oklahoma,"Heron, boat-billed",1,5,11,14
156,bgrowden4b,Bryn,Growden,bgrowden4b@chron.com,6 Shelley Trail,Knoxville,Tennessee,Four-spotted skimmer,3,5,11,14
157,hlung4c,Hestia,Lung,hlung4c@tripadvisor.com,41538 Aberg Alley,Kansas City,Missouri,Pied avocet,4,6,11,13
158,eputley4d,Ellie,Putley,eputley4d@prnewswire.com,7833 Lunder Place,Mobile,Alabama,"Gull, silver",3,7,9,14
159,cpogosian4e,Collin,Pogosian,cpogosian4e@eventbrite.com,454 Monterey Plaza,Lexington,NULL,Crown of thorns starfish,1,5,12,14
160,iliddiatt4f,Iggie,Liddiatt,iliddiatt4f@biblegateway.com,635 Marcy Drive,Erie,Pennsylvania,Cook's tree boa,2,5,12,13
161,atolliday4g,Agata,Tolliday,atolliday4g@usa.gov,2 Mariners Cove Road,Saint Petersburg,Florida,Peregrine falcon,1,8,12,16
162,cnorledge4h,Claudell,Norledge,cnorledge4h@cdc.gov,4 Reindahl Trail,Cleveland,Ohio,Savannah deer (unidentified),4,6,10,15
163,ofreyn4i,Odette,Freyn,ofreyn4i@ebay.com,1654 Schlimgen Park,Peoria,Arizona,Sociable weaver,1,6,11,13
164,nkempton4j,Nessa,Kempton,nkempton4j@liveinternet.ru,5 Memorial Park,Kansas City,Missouri,Eastern box turtle,2,5,9,15
165,awerner%k,Anallese,Werner,awerner4k@dedecms.com,83 Scott Avenue,Wichita,Kansas,Guerza,3,7,9,14
166,mallot4l,Merline,Allot,mallot4l@com.com,64 Cordelia Alley,Lawrenceville,Georgia,"Cat, african wild",1,6,12,13
167,croyall4m,Clevey,Royall,croyall4m@artisteer.com,65259 Swallow Avenue,Milwaukee,Wisconsin,"Turtle, snake-necked",3,5,10,13
168,dbowskill4n,Danna,Bowskill,dbowskill4n@oakley.com,34 Vahlen Terrace,Fresno,California,Killer whale,2,8,12,13
169,rcammacke4o,Raimund,Cammacke,rcammacke4o@omniture.com,09150 Glendale Center,White Plains,NULL,Common ringtail,2,8,10,14
170,rdagger4p,Rustie,Dagger,rdagger4p@scribd.com,3979 Forster Parkway,North Las Vegas,Nevada,Zorilla,2,6,10,15
171,ncallander4q,Ned,Callander,ncallander4q@ucoz.com,532 Beilfuss Crossing,Oklahoma City,Oklahoma,Honey badger,3,6,10,15
172,tlindeboom4r,Taryn,Lindeboom,tlindeboom4r@slashdot.org,126 Continental Center,Portsmouth,Virginia,African clawless otter,1,7,10,16
173,enorcliffe4s,Evey,Norcliffe,enorcliffe4s@ted.com,269 Reinke Crossing,Evansville,Indiana,Large-eared bushbaby,1,6,12,14
174,pelph%nstone4t,Packston,Elphinstone,pelphinstone4t@dropbox.com,757 Eagan Trail,Seattle,Washington,"Darter, african",3,8,11,16
175,smcguinness4u,Suzann,McGuinness,smcguinness4u@ft.com,80616 Heffernan Drive,Ogden,Utah,Wild boar,3,7,12,14
176,amila4v,Andreana,Mila,amila4v@usda.gov,5 Sommers Avenue,Washington,District of Columbia,"Squirrel, thirteen-lined",4,5,12,16
177,mgillam4w,Moyna,Gillam,mgillam4w@miitbeian.gov.cn,912 Nancy Center,Staten Island,New York,Red-headed woodpecker,3,7,10,15
178,mlegrice4x,Michelina,Legrice,mlegrice4x@flickr.com,3 Lyons Road,Huntsville,Alabama,Black rhinoceros,4,6,10,14
179,csyfax4y,Caye,Syfax,csyfax4y@engadget.com,8 Summit Drive,Albany,New York,"Shrike, common boubou",3,5,11,16
180,fbrookson4z,Fraze,Brookson,fbrookson4z@desdev.cn,64649 Schlimgen Park,Charleston,South Carolina,"Gorilla, western lowland",1,7,9,16
181,gholburn50,Gwenore,Holburn,gholburn50@slideshare.net,02 School Plaza,Grand Rapids,Michigan,"Cockatoo, sulfur-crested",1,NULL,9,13
182,cevitt51,Christie,Evitt,cevitt51@usnews.com,2 Golden Leaf Road,Omaha,Nebraska,Nubian bee-eater,4,7,9,13
183,pchampneys52,Putnam,Champneys,pchampneys52@pagesperso-orange.fr,734 Ludington Center,Atlanta,Georgia,"Sloth, two-toed tree",1,8,9,13
184,wrolles53,Waylon,Rolles,wrolles53@bloomberg.com,62 Northport Trail,San Francisco,California,Collared lemming,1,8,11,13
185,cwhines54,Celestyna,Whines,cwhines54@cornell.edu,060 Kinsman Pass,Washington,District of Columbia,"Macaque, pig-tailed",2,7,9,14
186,acondict55,Alicea,Condict,acondict55@bloglovin.com,3679 Browning Avenue,Springfield,Ohio,Blue shark,4,8,9,13
187,tplatfoot56,Tisha,Platfoot,tplatfoot56@diigo.com,88543 Cordelia Alley,Sarasota,Florida,African darter,3,8,11,16
188,prearie57,Pier,Rearie,prearie57@devhub.com,04847 Doe Crossing Crossing,Tucson,NULL,Black bear,4,6,11,13
189,cmeech58,Corrianne,Meech,cmeech58@youtube.com,9 Thompson Road,Winter Haven,Florida,Steenbuck,4,7,10,15
190,acranidge59,Adan,Cranidge,acranidge59@baidu.com,68728 North Court,Baton Rouge,Louisiana,"Gnu, brindled",3,8,12,16
191,emanketell5a,Ediva,Manketell,emanketell5a@earthlink.net,45 Warner Circle,Winston Salem,North Carolina,"Lizard, frilled",3,5,9,14
